,location,iso_code,date,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million
0,Argentina,ARG,2020-12-29,700.0,1315.0,0.0,
1,Argentina,ARG,2020-12-30,,16271.0,,346.0
2,Argentina,ARG,2020-12-31,32013.0,16271.0,0.07,346.0
3,Argentina,ARG,2021-01-01,,11685.0,,245.0
4,Argentina,ARG,2021-01-02,,9391.0,,194.0
5,Argentina,ARG,2021-01-03,,8015.0,,164.0
6,Argentina,ARG,2021-01-04,39599.0,7098.0,0.09,143.0
7,Argentina,ARG,2021-01-05,,8599.0,,177.0
8,Argentina,ARG,2021-01-06,,8788.0,,181.0
9,Argentina,ARG,2021-01-07,,8978.0,,185.0
10,Argentina,ARG,2021-01-08,107542.0,11134.0,0.24,233.0
11,Austria,AUT,2020-12-30,6000.0,6000.0,0.07,
12,Austria,AUT,2020-12-31,,2683.0,,298.0
13,Austria,AUT,2021-01-01,,2683.0,,298.0
14,Austria,AUT,2021-01-02,,2683.0,,298.0
15,Austria,AUT,2021-01-03,,2683.0,,298.0
16,Austria,AUT,2021-01-04,,2683.0,,298.0
17,Austria,AUT,2021-01-05,,2683.0,,298.0
18,Austria,AUT,2021-01-06,,2683.0,,298.0
19,Austria,AUT,2021-01-07,,2683.0,,298.0
20,Austria,AUT,2021-01-08,30150.0,2683.0,0.33,298.0
21,Bahrain,BHR,2020-12-23,38965.0,38771.0,2.29,
22,Bahrain,BHR,2020-12-24,50071.0,10912.0,2.94,6527.0
23,Bahrain,BHR,2020-12-25,50543.0,5595.0,2.97,3402.0
24,Bahrain,BHR,2020-12-26,51556.0,4003.0,3.03,2467.0
25,Bahrain,BHR,2020-12-27,53614.0,3468.0,3.15,2152.0
26,Bahrain,BHR,2020-12-28,55014.0,3016.0,3.23,1886.0
27,Bahrain,BHR,2020-12-29,56041.0,2652.0,3.29,1673.0
28,Bahrain,BHR,2020-12-30,57317.0,2428.0,3.37,1541.0
29,Bahrain,BHR,2020-12-31,58643.0,1031.0,3.45,720.0
30,Bahrain,BHR,2021-01-01,59351.0,1064.0,3.49,739.0
31,Bahrain,BHR,2021-01-02,60097.0,1026.0,3.53,717.0
32,Bahrain,BHR,2021-01-03,60689.0,817.0,3.57,594.0
33,Bahrain,BHR,2021-01-04,61612.0,749.0,3.62,554.0
34,Bahrain,BHR,2021-01-05,63893.0,928.0,3.75,659.0
35,Bahrain,BHR,2021-01-06,68472.0,1400.0,4.02,937.0
36,Bahrain,BHR,2021-01-07,72239.0,1748.0,4.25,1141.0
37,Bahrain,BHR,2021-01-08,78291.0,2512.0,4.6,1590.0
38,Bahrain,BHR,2021-01-09,84157.0,3243.0,4.95,2020.0
39,Bahrain,BHR,2021-01-10,89250.0,3886.0,5.25,2398.0
40,Belgium,BEL,2021-01-02,700.0,700.0,0.01,
41,Belgium,BEL,2021-01-03,,1460.0,,126.0
42,Belgium,BEL,2021-01-04,,1460.0,,126.0
43,Belgium,BEL,2021-01-05,,1460.0,,126.0
44,Belgium,BEL,2021-01-06,,1460.0,,126.0
45,Belgium,BEL,2021-01-07,8000.0,1460.0,0.07,126.0
46,Bulgaria,BGR,2020-12-29,1719.0,1714.0,0.02,
47,Bulgaria,BGR,2020-12-30,4608.0,2884.0,0.07,416.0
48,Bulgaria,BGR,2020-12-31,,1472.0,,213.0
49,Bulgaria,BGR,2021-01-01,4739.0,1002.0,0.07,145.0
50,Bulgaria,BGR,2021-01-02,,785.0,,114.0
51,Bulgaria,BGR,2021-01-03,,656.0,,95.0
52,Bulgaria,BGR,2021-01-04,,569.0,,83.0
53,Bulgaria,BGR,2021-01-05,,507.0,,74.0
54,Bulgaria,BGR,2021-01-06,5448.0,115.0,0.08,17.0
55,Bulgaria,BGR,2021-01-07,7913.0,458.0,0.11,67.0
56,Bulgaria,BGR,2021-01-08,11117.0,906.0,0.16,131.0
57,Bulgaria,BGR,2021-01-09,13355.0,1206.0,0.19,174.0
58,Bulgaria,BGR,2021-01-10,13473.0,1202.0,0.19,174.0
59,Canada,CAN,2020-12-14,297.0,3507.0,0.0,
60,Canada,CAN,2020-12-15,1163.0,4076.0,0.0,23.0
61,Canada,CAN,2020-12-16,3683.0,4903.0,0.01,45.0
62,Canada,CAN,2020-12-17,7201.0,5511.0,0.02,61.0
63,Canada,CAN,2020-12-18,10615.0,5790.0,0.03,68.0
64,Canada,CAN,2020-12-19,11894.0,5529.0,0.03,61.0
65,Canada,CAN,2020-12-20,14492.0,5576.0,0.04,63.0
66,Canada,CAN,2020-12-21,20866.0,6148.0,0.06,78.0
67,Canada,CAN,2020-12-22,26287.0,6799.0,0.07,95.0
68,Canada,CAN,2020-12-23,35089.0,7697.0,0.09,119.0
69,Canada,CAN,2020-12-24,45398.0,8667.0,0.12,145.0
70,Canada,CAN,2020-12-25,45700.0,8222.0,0.12,133.0
71,Canada,CAN,2020-12-26,48719.0,8471.0,0.13,139.0
72,Canada,CAN,2020-12-27,52280.0,8608.0,0.14,143.0
73,Canada,CAN,2020-12-28,59449.0,8722.0,0.16,146.0
74,Canada,CAN,2020-12-29,70749.0,9562.0,0.19,168.0
75,Canada,CAN,2020-12-30,79482.0,9552.0,0.21,168.0
76,Canada,CAN,2020-12-31,95832.0,10415.0,0.25,191.0
77,Canada,CAN,2021-01-01,104347.0,11588.0,0.28,222.0
78,Canada,CAN,2021-01-02,112425.0,12311.0,0.3,241.0
79,Canada,CAN,2021-01-03,117727.0,12560.0,0.31,248.0
